435,407,381,380,380,452,382,380,379,381,414,412,458,386,388,397,382,395,384,384,397
833,781,768,772,802,822,923,811,801,772,771,774,872,786,773,772,777,825,818,820,803
2234,1616,1609,1202,1605,2004,1446,1260,1199,1266,1136,1131,1234,1190,1199,1268,1192,1213,1376,1146,1376
2683,2556,2311,2746,2978,1864,1784,1670,1667,1665,1728,1633,1640,1638,1627,1646,1908,1688,1637,1622,1934
2189,2337,2108,2002,2031,2043,2055,2208,2129,2074,2254,2104,2103,2132,2269,2189,2118,2022,2178,2050,2129
3094,2801,2687,2759,2561,2508,2577,2872,2657,2841,2629,2489,2552,2734,2743,2642,2682,2555,2480,2553,2670
3498,3131,3007,3100,3052,3338,3217,3088,3047,6760,6284,3753,3551,3819,3860,4732,3232,3680,5785,3220,3857
4563,4524,4409,5166,4151,4026,4072,4958,4134,4088,6117,5279,4021,4218,4412,4182,4138,4015,4286,4003,4438
5309,4689,4895,5567,4757,5406,5195,5020,6757,5525,6044,5057,5255,6867,5063,5314,6279,4828,4995,4902,5386
6566,5806,5697,6980,7942,5483,5922,6154,5399,5669,5479,-994565,5850,5799,5565,5860,5472,5655,5771,5435,-44104
7776,6729,6602,6638,6596,6757,6527,6721,6570,6466,7076,6505,6679,6558,6582,9083,7859,8389,7283,9040,7121
9732,8589,9126,8525,9342,8765,10579,8793,10011,8719,9651,8945,8656,12463,9104,8959,8649,8928,8801,8641,9248
9168,8521,8764,8636,8741,8515,8774,8630,8745,8830,13323,9312,10169,10414,8621,9841,8731,8733,8685,8783,9196
9930,9315,10971,10473,9350,9564,9250,9260,9129,9344,9646,9209,10483,9375,9340,9490,11949,9724,9467,10315,9779
10639,10431,10044,10289,10410,10393,10881,10418,10297,10599,10239,10468,10441,10257,10441,10218,10663,12087,11418,10484,10555
12455,11932,11719,12179,11914,11968,12114,11914,12307,11854,12485,11889,14348,13604,15301,12186,13564,11988,12210,13945,12593
13567,12921,13348,12960,13025,14599,14407,13805,15006,13778,13517,13356,13025,13257,14876,13206,13161,13145,12905,13191,13552
17006,14591,14662,14120,14221,14148,13928,13842,13898,13968,13979,14777,14072,13668,13731,13791,13918,14036,15481,14723,14328
14871,15654,15770,14296,14488,15954,14832,14618,15075,14938,15463,14490,14204,15424,14656,14435,14414,14245,14298,14351,14823
15881,15307,15375,15536,15538,16024,15429,16247,17046,16715,16872,16073,15822,15841,15829,15492,15886,15390,15115,17384,15940
463,381,379,404,413,380,375,378,379,381,378,666,405,357,364,375,376,378,397,429,402
967,738,782,787,770,855,750,770,781,768,768,770,831,857,777,981,945,1152,1803,867,885
1605,1420,4374,7015,1380,2540,2140,1308,1427,1203,1189,1371,1214,1230,1193,1187,1234,1191,1184,1259,1833
3623,2881,2209,1622,1614,1601,1611,1606,1677,1648,1610,2765,3154,2592,2148,1867,2198,3277,-998029,2142,-47810
2508,2047,2063,2065,2019,2022,2064,2253,2276,2097,2031,2017,2061,2038,2021,2037,2319,2029,2065,2044,2103
2769,2502,2728,2551,2543,2499,2549,2549,2630,2724,2509,2628,2527,2589,2490,2707,2667,2513,2499,2568,2587
6380,9130,3651,4355,3649,3849,3527,3397,3301,3669,3888,3317,3372,3685,5753,3382,3336,3864,3522,3766,4139
4263,4062,4462,3879,3877,3978,4391,3874,3904,4154,4111,3923,3877,4537,4487,4269,3910,3937,4226,4263,4119
5341,7424,5834,5075,5382,5085,-995021,5151,4869,4902,4819,4684,5810,5754,4798,5711,5320,4793,4886,4861,-44727
5794,5799,5842,7628,6178,5961,6887,6060,5692,5835,5820,5571,5640,5850,5465,5472,5771,5710,5900,5759,5931
7609,6921,6958,6457,7432,6878,6449,6710,6734,8669,6655,6503,6695,8544,7262,7254,7044,6678,6811,8948,7160
10072,10421,8620,-992391,7381,7949,7467,9398,7500,8752,8121,7843,8896,8331,7736,8235,7652,8607,8090,8030,-41665
9433,10645,8726,8912,8652,9431,8855,13026,10020,10192,10966,9484,10041,11161,9121,11239,10260,10077,10509,10252,10050
10365,9736,9341,9695,9568,9860,11940,10073,10308,-988505,10166,10490,11590,10547,11512,11314,10205,10628,10644,11969,-39428
13886,12218,12354,11609,12079,11484,11879,12077,13059,13560,11578,13199,11945,12480,11169,16569,14205,14987,13275,17700,13065
