14,4,34,19,18,19,17,19,19,18,18,18,17,19,19,30,18,39,18,18,19
48,37,41,45,37,49,34,36,37,58,37,36,49,40,38,39,41,39,53,43,41
63,54,55,51,82,52,50,52,63,51,53,49,59,62,52,52,47,61,53,50,55
92,79,82,82,87,76,81,74,77,99,89,72,101,69,69,75,95,72,77,85,81
49,95,105,91,103,101,93,98,88,92,95,91,95,83,95,107,83,92,99,91,92
148,108,131,107,115,108,122,112,120,100,121,99,109,125,102,122,104,122,103,125,115
133,139,136,155,130,129,129,124,121,169,146,142,129,119,134,143,128,126,139,117,134
358,328,187,169,164,155,183,139,162,154,145,160,154,150,155,148,156,150,145,149,175
202,158,168,186,155,146,175,166,150,169,165,155,165,167,195,168,182,156,167,153,167
195,214,194,184,209,257,190,167,181,172,207,170,188,189,173,172,185,229,231,189,194
234,210,200,227,209,194,215,186,222,197,203,215,207,208,200,218,191,189,215,201,207
248,300,209,220,216,224,209,246,221,217,222,239,227,203,217,200,229,219,213,214,224
246,249,232,248,232,244,243,219,240,239,230,233,228,237,235,226,242,221,226,235,235
301,250,267,261,250,241,283,270,245,251,268,274,241,305,259,247,252,247,241,269,261
306,299,276,282,275,258,258,272,267,274,295,265,268,280,263,289,280,302,262,250,276
298,302,327,317,322,303,279,292,282,295,282,271,299,303,299,317,274,292,272,288,295
366,364,307,299,296,300,319,329,288,296,291,333,314,294,284,316,323,299,298,316,311
379,353,590,327,350,379,314,311,346,341,319,307,348,301,343,332,313,351,320,320,347
394,366,379,347,343,332,365,350,348,410,340,321,337,335,339,365,335,333,344,339,351
451,390,361,377,388,367,369,397,351,381,349,357,344,369,356,385,373,363,334,366,371
